Image n.,MSE,SSIM
0,5399.806548317684,0.43547978487009686
1,5557.4000635759,0.4241217972764619
2,6433.841250978091,0.38233159514112014
3,5441.273156298905,0.4361317741295889
4,6423.80156983568,0.33912457353597336
5,5856.027816901408,0.39544701560575324
6,4951.87938673709,0.4408504687189902
7,9843.678721635368,0.17575915533713057
8,5972.060900821596,0.3187829206591055
9,8544.838473200312,0.2852735730295605
10,7457.290522300469,0.46359154230361854
11,9684.92269170579,0.42262795427672395
12,9453.705105633802,0.379107453188993
13,10593.93563673709,0.3413705177114806
14,5539.917610524257,0.4136892813810205
15,8279.885064553991,0.30362858330753767
16,5300.157971439749,0.537561274594812
17,5340.726628521127,0.45958962829767863
18,8891.644933489828,0.2797740289888681
19,10060.46038243349,0.3412369172066932
20,8811.562255477309,0.3559692037366972
21,6032.832482394366,0.33638225852343817
22,4962.7899696791865,0.5031063823504647
23,6244.569586267606,0.34551333313152083
24,6357.05771713615,0.24302141683727854
25,4130.956934663537,0.4898459065781658
26,7203.723254107981,0.2794064000016232
27,4558.103716744914,0.45332516452314886
28,7942.220755086072,0.2897767718775515
29,6900.716055359938,0.3762175918627602
